time,acceleration
0.0,0.001
0.01,-0.015
0.02,0.01
0.03,0.026
0.04,-0.003
0.05,-0.031
0.06,-0.031
0.07,-0.003
0.08,0.025
0.09,0.017
0.1,0.001
0.11,-0.004
0.12,-0.024
0.13,-0.017
0.14,1.628
0.15,0.893
0.16,1.295
0.17,1.694
0.18,1.13
0.19,0.577
0.2,0.778
0.21,1.117
0.22,0.841
0.23,0.415
0.24,0.454
0.25,1.913
0.26,2.072
0.27,1.473
0.28,0.994
0.29,1.028
0.3,1.183
0.31,1.128
0.32,0.851
0.33,0.653
0.34,0.643
0.35,0.701
0.36,0.689
0.37,0.581
0.38,0.392
0.39,0.29
0.4,0.419
0.41,0.489
0.42,1.767
0.43,1.482
0.44,1.299
0.45,1.316
0.46,1.147
0.47,1.061
0.48,0.882
0.49,0.89
0.5,0.795
0.51,0.73
0.52,1.846
0.53,1.218
0.54,1.511
0.55,1.919
0.56,1.368
0.57,0.86
0.58,0.897
0.59,1.15
0.6,0.94
0.61,0.654
0.62,0.581
0.63,0.799
0.64,0.633
0.65,0.383
0.66,1.957
0.67,1.404
0.68,1.674
0.69,2.02
0.7,1.628
0.71,1.059
0.72,0.843
0.73,1.116
0.74,1.209
0.75,0.949
0.76,0.63
0.77,0.653
0.78,2.783
0.79,3.202
0.8,2.098
0.81,1.307
0.82,1.841
0.83,2.257
0.84,1.532
0.85,0.801
0.86,1.013
0.87,1.442
0.88,1.122
0.89,0.629
0.9,0.676
0.91,3.045
0.92,3.18
0.93,1.369
0.94,2.306
0.95,2.244
0.96,1.337
0.97,1.866
0.99,1.185
1.0,1.034
1.01,1.473
1.02,0.777
1.03,0.966
1.04,1.134
1.05,0.562
1.06,0.732
1.07,1.623
1.08,1.412
1.09,1.449
1.1,1.335
1.11,0.902
1.12,1.294
1.13,0.647
1.14,0.867
1.15,0.619
1.16,0.827
1.17,0.572
1.18,0.7
1.19,1.53
1.2,1.241
1.21,1.023
1.22,1.571
1.23,1.481
1.24,1.084
1.25,0.634
1.26,0.777
1.27,0.79
1.28,0.757
1.29,0.564
1.3,0.407
1.31,0.446
1.32,0.522
1.33,0.463
1.34,0.215
1.35,2.22
1.36,1.903
1.37,2.369
1.38,1.321
1.39,2.003
1.4,0.814
1.41,1.657
1.42,0.832
1.43,1.434
1.44,0.766
1.45,0.949
1.46,0.721
1.47,0.641
1.48,0.683
1.49,2.317
1.5,1.917
1.51,2.455
1.52,1.524
1.53,1.565
1.54,1.703
1.55,0.807
1.56,1.619
1.57,0.983
1.58,0.865
1.59,1.099
1.6,0.466
1.61,0.782
1.62,0.598
1.63,1.803
1.64,1.391
1.65,1.481
1.66,1.733
1.67,1.348
1.68,0.651
1.69,1.124
1.7,1.246
1.71,0.835
1.72,0.634
1.73,0.606
1.74,0.799
1.75,1.933
1.76,1.101
1.77,1.396
1.78,1.792
1.79,1.622
1.8,1.062
1.81,0.677
1.82,0.914
1.83,1.053
1.84,0.922
1.85,0.69
1.86,0.476
1.87,0.461
1.88,0.547
1.89,0.552
1.9,0.481
1.91,0.301
1.92,0.265
1.93,0.392
1.94,0.323
1.95,0.194
1.96,0.154
1.97,0.211
1.98,0.241
1.99,0.197
2.0,0.121
2.01,0.049
2.02,0.101
2.03,0.146
2.04,0.148
2.05,0.083
2.06,0.071
2.07,0.078
2.08,0.057
2.09,0.074
2.1,0.068
2.11,0.053
2.12,0.055
2.13,0.051
2.14,0.042
2.15,-0.001
2.16,0.037
2.17,0.053
2.18,0.029
2.19,0.025
2.2,-0.011
2.21,-0.025
2.22,0.001
2.23,0.036
2.24,0.03
2.25,0.01
2.26,-0.0
2.27,-0.011
2.28,-0.025
