time,acceleration
0.0,-0.017
0.01,0.009
0.02,0.0
0.03,-0.005
0.04,0.0
0.05,-0.009
0.06,0.003
0.07,-0.013
0.08,-0.012
0.09,0.003
0.1,-0.0
0.11,-0.006
0.12,0.006
0.13,0.009
0.14,-0.0
0.15,0.01
0.16,0.0
0.17,0.001
0.18,0.003
0.19,0.009
0.2,0.007
0.21,0.004
0.22,0.006
0.23,-0.003
0.24,0.021
0.25,0.016
0.26,0.007
0.27,0.01
0.28,0.005
0.29,-0.011
0.3,0.008
0.31,-0.011
0.32,-0.004
0.33,-0.003
0.34,-0.005
0.35,0.013
0.36,0.021
0.37,-0.005
0.38,0.0
0.39,-0.005
0.4,0.007
0.41,-0.01
0.42,0.008
0.43,0.003
0.44,0.01
0.45,0.015
0.46,0.01
0.47,-0.016
0.48,0.016
0.49,0.005
0.5,0.003
0.51,0.005
0.52,0.023
0.53,-0.0
0.54,0.015
0.55,0.015
0.56,0.003
0.57,0.005
0.58,-0.006
0.59,-0.002
0.6,0.005
0.61,0.005
0.62,0.007
0.63,-0.003
0.64,-0.001
0.65,0.005
0.66,0.022
0.67,-0.0
0.68,-0.002
0.69,0.005
0.7,-0.012
0.71,0.007
0.72,0.018
0.74,-0.013
0.75,0.001
0.76,-0.005
0.77,0.0
0.78,-0.001
0.79,-0.008
0.8,-0.001
0.81,0.014
0.82,-0.002
0.83,-0.003
0.84,0.016
0.85,0.007
0.86,0.001
0.87,0.003
0.88,0.02
0.89,-0.006
0.9,-0.009
0.91,0.005
0.92,0.001
0.93,0.017
0.94,0.007
0.95,-0.002
0.96,0.005
0.97,0.012
0.98,0.018
0.99,0.001
1.0,0.02
1.01,0.016
1.02,0.01
1.03,0.015
1.04,0.006
1.05,0.002
1.06,0.002
1.07,0.006
1.08,-0.003
1.09,0.001
1.1,0.006
1.11,0.005
1.12,-0.003
1.13,-0.004
1.14,-0.006
1.15,0.007
1.16,0.0
1.17,-0.012
1.18,0.006
1.19,-0.001
1.2,0.008
1.21,0.007
1.22,0.013
1.23,0.01
1.24,0.005
1.25,-0.002
1.26,-0.005
1.27,0.002
1.28,-0.004
1.29,0.003
1.3,-0.004
1.31,-0.005
1.32,0.015
1.33,0.001
1.34,-0.001
1.35,-0.009
1.36,-0.007
1.37,0.003
1.38,-0.007
1.39,-0.001
1.4,0.002
1.41,0.009
1.42,0.014
1.43,0.009
1.44,-0.001
1.45,0.008
1.46,0.013
1.47,-0.002
1.48,0.017
1.49,-0.007
1.5,0.006
1.51,0.011
1.52,-0.008
1.53,0.002
1.54,-0.008
1.55,-0.01
1.56,-0.005
1.57,0.001
1.58,-0.002
1.59,0.01
1.6,0.014
1.61,0.002
1.62,-0.0
1.63,0.001
1.64,-0.001
1.65,-0.003
1.66,-0.003
1.67,0.018
1.68,0.002
1.69,0.007
1.7,-0.01
1.71,0.002
1.72,0.017
1.73,0.003
1.74,0.016
1.75,0.012
1.76,-0.004
1.77,-0.005
1.78,-0.012
1.79,0.011
1.8,-0.01
1.81,0.001
1.82,-0.005
1.83,-0.005
1.84,0.005
1.85,-0.002
1.86,0.012
1.87,-0.018
1.88,0.014
1.89,-0.005
1.9,0.003
1.91,0.004
1.92,-0.001
1.93,0.001
1.94,-0.004
1.95,0.014
1.96,0.014
1.97,0.0
1.98,0.001
1.99,0.007
2.0,-0.0
2.01,0.012
2.02,-0.002
2.03,0.009
2.04,0.011
2.05,0.002
2.06,-0.001
2.07,-0.001
2.08,0.006
2.09,0.006
2.1,0.008
2.11,0.01
2.12,0.012
2.13,-0.014
2.14,-0.005
2.15,-0.0
2.16,-0.005
2.17,0.011
2.19,-0.003
2.2,0.0
2.21,-0.005
2.22,-0.003
2.23,0.001
2.24,-0.0
2.25,-0.001
2.26,-0.003
2.27,-0.014
2.28,0.001
2.29,-0.008
2.3,-0.001
2.31,-0.011
2.32,0.009
2.33,-0.001
2.34,-0.013
2.35,-0.017
2.36,-0.011
2.37,0.001
2.38,0.001
2.39,-0.001
2.4,0.004
2.41,-0.011
2.42,-0.011
2.43,-0.002
2.44,-0.009
2.45,-0.008
