time,acceleration
0.0,-0.015
0.01,0.027
0.02,0.067
0.03,0.048
0.04,0.03
0.05,0.039
0.06,0.006
0.07,0.002
0.08,-0.033
0.09,0.003
0.1,-0.023
0.11,-0.033
0.12,-0.01
0.13,0.043
0.14,0.055
0.15,0.086
0.16,0.034
0.17,-0.003
0.18,0.004
0.19,-0.01
0.2,-0.051
0.21,-0.076
0.22,-0.058
0.23,-0.031
0.24,-0.002
0.25,0.085
0.26,0.096
0.27,0.083
0.28,0.032
0.29,0.023
0.3,-0.001
0.31,-0.025
0.32,-0.05
0.33,-0.063
0.34,-0.056
0.35,-0.043
0.36,-0.008
0.37,0.097
0.38,0.118
0.39,0.068
0.4,0.055
0.41,0.0
0.42,-0.045
0.43,-0.074
0.44,-0.06
0.45,-0.079
0.46,-0.097
0.47,-0.083
0.48,0.023
0.49,0.118
0.5,0.118
0.51,0.056
0.52,0.035
0.53,-0.019
0.55,-0.063
0.56,-0.107
0.57,-0.067
0.58,-0.088
0.59,-0.126
0.6,-0.06
0.61,0.049
0.62,0.102
0.63,0.146
0.64,0.069
0.65,0.059
0.66,-0.019
0.67,-0.043
0.68,-0.087
0.69,-0.071
0.7,-0.097
0.71,-0.113
0.72,-0.064
0.73,0.048
0.74,0.118
0.75,0.109
0.76,0.067
0.77,0.035
0.78,-0.014
0.79,-0.091
0.8,-0.053
0.81,-0.065
0.82,-0.062
0.83,-0.095
0.84,-0.039
0.85,0.118
0.86,0.144
0.87,0.122
0.88,0.098
0.89,0.007
0.9,0.004
0.91,-0.06
0.92,-0.047
0.93,-0.032
0.94,-0.058
0.95,-0.05
0.96,0.004
0.97,0.11
0.98,0.154
0.99,0.095
1.0,0.049
1.01,0.012
1.02,0.024
1.03,-0.091
1.04,-0.073
1.05,-0.099
1.06,-0.059
1.07,-0.065
1.08,0.032
1.09,0.094
1.1,0.132
1.11,0.084
1.12,0.023
1.13,0.009
1.14,-0.039
1.15,-0.074
1.16,-0.059
1.17,-0.063
1.18,-0.048
1.19,-0.036
1.2,0.011
1.21,0.035
1.22,0.079
1.23,0.048
1.24,0.0
1.25,-0.006
1.26,-0.017
1.27,-0.055
1.28,-0.057
1.29,-0.048
1.3,-0.037
1.31,-0.055
1.32,0.01
1.33,0.048
1.34,0.057
1.35,0.042
1.36,0.019
1.37,-0.012
1.38,-0.041
1.39,-0.002
1.4,-0.05
1.41,-0.025
1.42,-0.03
1.43,-0.022
1.44,0.001
1.45,0.05
1.46,0.052
1.47,0.026
1.48,0.003
1.49,-0.004
1.5,-0.019
