epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,100.143,1.83685,2.74545,2.81247,0.04692,0.57429,0.53275,0.56559,0.35712,1.37229,1.75561,2.29006,0.00991,0.000665239,0.000665239,0.000665239
2,166.527,1.76147,2.38617,2.75071,0.02486,0.37691,0.40611,0.26521,0.15761,1.42453,2.81563,2.24437,0.01002,0.00132312,0.00132312,0.00132312
3,232.057,1.75187,2.3907,2.69316,0.02196,0.64131,0.60899,0.62376,0.36138,1.27186,1.94931,2.18073,0.0049,0.00197219,0.00197219,0.00197219
4,296.822,1.68103,2.31331,2.67097,0.01783,0.62867,0.60262,0.62525,0.34901,1.33058,1.98394,2.19877,0.00889,0.0019604,0.0019604,0.0019604
5,361.654,1.62583,2.14312,2.61159,0.01478,0.62236,0.56853,0.57166,0.35071,1.28103,1.79591,2.17169,0.00304,0.0019472,0.0019472,0.0019472
6,426.171,1.578,2.10437,2.59288,0.01163,0.65024,0.55459,0.6376,0.40992,1.25886,1.59538,2.16938,0.00605,0.001934,0.001934,0.001934
7,490.617,1.58124,2.02831,2.5998,0.01345,0.73627,0.68559,0.73794,0.44073,1.20544,1.98988,2.19128,0.0043,0.0019208,0.0019208,0.0019208
8,555.19,1.55768,1.96885,2.56663,0.0116,0.63424,0.65122,0.67607,0.41649,1.30619,1.77598,2.19714,0.00218,0.0019076,0.0019076,0.0019076
9,620.002,1.55692,1.88999,2.55728,0.00839,0.61559,0.6084,0.6074,0.35872,1.31776,1.53421,2.30437,0.00167,0.0018944,0.0018944,0.0018944
10,684.835,1.52991,1.89404,2.56067,0.00931,0.67232,0.75983,0.74142,0.45018,1.22841,1.48737,2.13112,0.0027,0.0018812,0.0018812,0.0018812
11,750.042,1.48401,1.87963,2.5283,0.00885,0.7406,0.74236,0.76843,0.48245,1.24338,1.20809,2.25523,0.00301,0.001868,0.001868,0.001868
12,815.08,1.47848,1.79178,2.55401,0.00857,0.61001,0.70742,0.67703,0.41098,1.25805,1.47195,2.2563,0.0021,0.0018548,0.0018548,0.0018548
13,880.054,1.51354,1.84097,2.58748,0.00875,0.66999,0.73584,0.74552,0.49852,1.15541,1.52847,2.18976,0.00333,0.0018416,0.0018416,0.0018416
14,945.195,1.46434,1.77827,2.53043,0.0079,0.79212,0.68559,0.7874,0.49036,1.21575,1.12043,2.23893,0.00217,0.0018284,0.0018284,0.0018284
15,1010.19,1.46119,1.79235,2.52963,0.00763,0.80154,0.68784,0.76948,0.51527,1.15364,1.29416,2.19296,0.0023,0.0018152,0.0018152,0.0018152
16,1075.48,1.45972,1.74374,2.527,0.00939,0.8266,0.68559,0.77993,0.4933,1.34689,1.31172,2.37895,0.0081,0.001802,0.001802,0.001802
17,1140.21,1.40238,1.71874,2.50666,0.00711,0.68845,0.73337,0.693,0.43707,1.20385,1.32468,2.27868,0.00124,0.0017888,0.0017888,0.0017888
18,1205.42,1.40329,1.63271,2.47996,0.00755,0.74462,0.74236,0.7782,0.49167,1.23755,1.20826,2.26259,0.00328,0.0017756,0.0017756,0.0017756
19,1270.16,1.41086,1.64566,2.49996,0.0085,0.8137,0.70306,0.79474,0.52323,1.11541,1.19022,2.12241,0.00453,0.0017624,0.0017624,0.0017624
20,1335.01,1.38394,1.57557,2.47203,0.00715,0.76791,0.66464,0.75517,0.47818,1.21631,1.2937,2.20994,0.00408,0.0017492,0.0017492,0.0017492
21,1399.85,1.38421,1.61274,2.4547,0.00655,0.76489,0.75294,0.78963,0.46053,1.26806,1.25607,2.2608,0.00137,0.001736,0.001736,0.001736
22,1464.71,1.39098,1.5836,2.46177,0.00665,0.71081,0.7406,0.77463,0.47157,1.27414,1.15546,2.35852,0.00259,0.0017228,0.0017228,0.0017228
23,1529.39,1.36275,1.57603,2.45349,0.00562,0.73038,0.75109,0.78856,0.49464,1.26419,1.08815,2.26634,0.00375,0.0017096,0.0017096,0.0017096
24,1594.64,1.37958,1.53189,2.45016,0.00652,0.74426,0.78166,0.80256,0.50059,1.2673,1.04903,2.29973,0.0031,0.0016964,0.0016964,0.0016964
25,1659.36,1.34015,1.50378,2.44479,0.00666,0.70763,0.68996,0.738,0.489,1.23399,1.22351,2.27452,0.0097,0.0016832,0.0016832,0.0016832
26,1724.41,1.33504,1.47167,2.43742,0.00795,0.78568,0.70742,0.77707,0.48842,1.24514,1.11777,2.34027,0.00403,0.00167,0.00167,0.00167
