time,acceleration
0.0,-0.019
0.01,-0.234
0.02,-0.968
0.03,-1.194
0.04,-0.376
0.05,-0.198
0.06,-0.054
0.07,0.686
0.08,1.331
0.09,1.23
0.1,1.084
0.11,1.053
0.12,0.441
0.13,-0.446
0.14,-0.739
0.15,-0.751
0.16,-0.984
0.17,-0.837
0.18,0.464
0.19,0.738
0.2,0.659
0.21,1.008
0.22,1.168
0.23,1.285
0.24,0.766
0.25,0.721
0.26,0.302
0.27,-0.267
0.28,-0.147
0.29,0.093
0.3,-0.128
0.31,-0.059
0.32,0.456
0.33,1.213
0.34,0.863
0.35,1.67
0.36,1.556
0.37,0.79
0.38,0.221
0.39,0.257
0.4,-0.055
0.41,-0.449
0.42,-0.018
0.43,0.524
0.44,0.555
0.45,0.741
0.46,1.165
0.47,0.969
0.48,0.281
0.49,-0.002
0.5,-0.189
0.51,-0.824
0.52,-1.034
0.53,-0.55
0.55,-0.249
0.56,-0.169
0.57,0.452
0.58,0.9
0.59,0.596
0.6,1.129
0.61,1.012
0.62,0.564
0.63,-0.126
0.64,-0.128
0.65,0.042
0.66,-0.169
0.67,-0.161
0.68,0.414
0.69,0.594
0.7,0.306
0.71,0.515
0.72,0.697
0.73,0.198
0.74,-0.258
0.75,0.492
0.76,0.901
0.77,0.218
0.78,0.227
0.79,0.584
0.8,0.519
0.81,0.709
0.82,1.275
0.83,1.395
0.84,0.961
0.85,0.819
0.86,0.55
0.87,0.17
0.88,0.269
0.89,0.604
0.9,0.964
0.91,0.586
0.92,0.959
0.93,1.579
0.94,1.605
0.95,1.524
0.96,1.776
0.97,1.409
0.98,0.515
0.99,0.08
1.0,-0.077
1.01,-0.678
1.02,-0.803
1.03,-0.35
1.04,-0.02
1.05,-0.088
1.06,0.355
1.07,0.793
1.08,0.576
1.09,0.869
1.1,0.919
1.11,0.555
1.12,-0.14
1.13,-0.242
1.14,-0.192
1.15,-0.462
1.16,0.212
1.17,0.749
1.18,0.983
1.19,2.606
1.2,2.55
1.21,4.174
1.22,3.144
1.23,2.118
1.24,1.597
1.25,0.836
1.26,-0.048
1.27,-0.142
1.28,0.248
1.29,0.327
1.3,0.537
1.31,1.239
1.32,1.451
1.33,1.028
1.34,0.86
1.35,0.69
1.36,-0.047
1.37,-0.609
1.38,-0.448
1.39,-0.542
1.4,-0.698
1.41,-0.282
1.42,0.255
1.43,0.212
1.44,0.184
1.45,0.526
1.46,0.444
1.47,-0.071
1.48,-0.121
1.49,0.03
1.5,0.501
1.51,0.171
1.52,1.043
1.53,0.977
1.54,0.658
1.55,0.826
1.56,1.206
1.57,0.885
1.58,0.549
1.59,0.601
1.6,0.255
1.61,-0.461
1.62,-0.655
1.64,-0.441
1.65,-0.543
1.66,-0.422
1.67,0.378
1.68,0.855
1.69,0.752
1.7,0.923
1.71,1.029
1.72,0.324
1.73,-0.346
1.74,-0.488
1.75,-0.71
1.76,-1.149
1.77,-0.785
1.78,-0.144
1.79,0.062
1.8,0.251
1.81,0.838
