time,acceleration
0.0,-0.007
0.01,-0.005
0.02,0.009
0.03,-0.01
0.04,-0.016
0.05,0.011
0.06,0.006
0.07,0.003
0.08,0.0
0.09,-0.008
0.1,-0.007
0.11,-0.005
0.12,0.019
0.13,0.001
0.14,-0.005
0.15,0.003
0.16,0.01
0.17,0.003
0.18,0.005
0.19,0.002
0.2,0.003
0.21,-0.017
0.22,0.001
0.23,-0.001
0.24,0.012
0.25,0.009
0.26,0.008
0.27,-0.005
0.28,0.002
0.29,0.006
0.3,0.002
0.31,-0.021
0.32,-0.004
0.33,0.011
0.34,0.015
0.35,0.001
0.36,0.018
0.37,0.012
0.38,0.007
0.39,0.01
0.4,0.021
0.41,0.002
0.42,0.013
0.43,0.011
0.44,0.01
0.45,0.004
0.46,-0.005
0.47,-0.014
0.48,-0.01
0.49,-0.0
0.5,0.003
0.51,0.009
0.52,0.01
0.53,0.006
0.54,-0.012
0.55,0.002
0.56,0.01
0.57,-0.002
0.58,-0.013
0.59,-0.002
0.6,0.014
0.61,0.016
0.62,0.018
0.63,0.002
0.64,-0.002
0.65,0.023
0.66,0.015
0.67,-0.001
0.68,0.002
0.69,0.0
0.7,0.017
0.71,0.003
0.72,0.013
0.73,0.003
0.74,0.016
0.75,0.012
0.76,0.008
0.77,0.019
0.78,-0.0
0.79,-0.0
0.8,0.002
0.81,-0.009
0.82,0.009
0.83,0.001
0.84,-0.001
0.85,-0.0
0.86,0.011
0.87,0.007
0.88,0.002
0.89,-0.01
0.9,-0.006
0.91,0.007
0.92,0.003
0.93,0.006
0.94,-0.007
0.95,-0.005
0.96,0.006
0.97,0.026
0.98,0.02
0.99,0.006
1.0,-0.005
1.01,0.025
1.02,0.012
1.03,0.018
1.04,-0.007
1.05,0.003
1.06,0.014
1.07,0.002
1.08,0.005
1.09,-0.005
1.1,0.0
1.11,0.007
1.12,-0.006
1.13,0.009
1.15,-0.008
1.16,-0.001
1.17,0.001
1.18,-0.006
1.19,0.007
1.2,-0.006
1.21,-0.007
1.22,0.007
1.23,0.006
1.24,0.017
1.25,-0.007
1.26,-0.002
1.27,0.023
1.28,-0.005
1.29,0.013
1.3,0.001
1.31,-0.006
1.32,0.002
1.33,-0.0
1.34,-0.011
1.35,-0.008
1.36,-0.008
1.37,0.013
1.38,-0.007
1.39,0.003
1.4,0.013
1.41,0.0
1.42,0.013
1.43,-0.004
1.44,-0.004
1.45,-0.008
1.46,-0.006
1.47,-0.01
1.48,0.003
1.49,-0.006
1.5,0.007
1.51,0.008
1.52,0.004
1.53,-0.001
1.54,-0.002
1.55,-0.004
1.56,0.001
1.57,-0.009
1.58,-0.003
1.59,-0.003
1.6,0.005
1.61,0.015
1.62,0.011
1.63,-0.018
1.64,0.016
1.65,0.001
1.66,-0.009
1.67,-0.0
1.68,-0.006
1.69,-0.004
1.7,0.003
1.71,0.014
1.72,0.001
1.73,0.004
1.74,0.001
1.75,0.006
1.76,-0.005
1.77,-0.01
1.78,-0.001
1.79,-0.003
1.8,0.0
1.81,-0.001
1.82,-0.0
1.83,0.012
1.84,0.003
1.85,0.001
1.86,-0.001
1.87,0.012
1.88,-0.01
1.89,-0.008
1.9,0.009
1.91,-0.003
1.92,-0.001
1.93,-0.012
1.94,-0.008
1.95,0.007
1.96,-0.001
1.97,-0.003
1.98,0.004
1.99,-0.007
2.0,0.002
2.01,0.002
2.02,-0.007
2.03,0.004
2.04,0.006
2.05,-0.015
2.06,-0.003
2.07,0.012
2.08,0.01
2.09,-0.003
2.1,-0.007
2.11,-0.011
2.12,-0.006
2.13,-0.009
2.14,-0.001
2.15,0.006
2.16,0.002
2.17,-0.002
2.18,-0.004
2.19,-0.001
2.2,-0.011
2.21,-0.014
2.22,-0.002
2.23,0.008
2.24,-0.007
2.25,0.001
2.26,-0.015
2.27,-0.012
2.28,0.006
2.29,0.004
2.3,-0.009
2.31,-0.004
2.32,-0.001
