time,acceleration
0.0,-0.024
0.01,0.002
0.02,0.01
0.03,0.02
0.04,0.027
0.05,0.043
0.06,0.003
0.07,0.002
0.08,-0.024
0.09,0.002
0.1,-0.005
0.11,-0.02
0.12,-0.027
0.13,-0.021
0.14,0.023
0.15,0.03
0.16,0.035
0.17,0.057
0.18,0.036
0.19,0.009
0.2,-0.027
0.21,-0.04
0.22,-0.054
0.23,-0.021
0.24,-0.031
0.25,-0.016
0.26,0.008
0.27,0.007
0.28,0.029
0.29,0.043
0.3,0.066
0.31,0.023
0.32,0.001
0.33,-0.044
0.34,-0.019
0.35,-0.027
0.36,-0.014
0.37,-0.009
0.38,-0.054
0.39,0.009
0.4,0.041
0.41,0.048
0.42,0.082
0.43,0.061
0.44,0.049
0.45,-0.006
0.46,-0.042
0.47,-0.053
0.48,-0.042
0.49,-0.053
0.5,-0.087
0.51,-0.044
0.52,0.002
0.53,0.04
0.54,0.066
0.55,0.043
0.56,0.09
0.57,0.022
0.58,-0.043
0.59,-0.082
0.6,-0.073
0.61,-0.043
0.62,-0.071
0.63,-0.074
0.64,-0.043
0.65,0.008
0.66,0.037
0.67,0.057
0.68,0.08
0.69,0.078
0.7,0.001
0.71,-0.043
0.72,-0.09
0.73,-0.053
0.74,-0.059
0.75,-0.065
0.76,-0.07
0.77,-0.005
0.79,-0.007
0.8,0.041
0.81,0.051
0.82,0.104
0.83,0.088
0.84,0.023
0.85,0.004
0.86,-0.087
0.87,-0.071
0.88,-0.052
0.89,-0.058
0.9,-0.042
0.91,-0.017
0.92,0.008
0.93,0.058
0.94,0.102
0.95,0.082
0.96,0.072
0.97,0.028
0.98,-0.024
0.99,-0.041
1.0,-0.032
1.01,-0.01
1.02,-0.022
1.03,-0.042
1.04,-0.016
1.05,-0.016
1.06,0.065
1.07,0.073
1.08,0.109
1.09,0.071
1.1,0.01
1.11,-0.002
1.12,-0.024
1.13,-0.047
1.14,-0.057
1.15,-0.042
1.16,-0.032
1.17,-0.025
1.18,-0.017
1.19,0.035
1.2,0.079
1.21,0.071
1.22,0.066
1.23,-0.006
1.24,-0.013
1.25,-0.022
1.26,-0.019
1.27,-0.03
1.28,-0.045
1.29,-0.033
1.3,-0.001
1.31,0.019
1.32,0.048
1.33,0.04
1.34,0.073
1.35,-0.004
1.36,-0.016
1.37,-0.041
1.38,-0.034
1.39,-0.026
1.4,-0.035
1.41,-0.048
1.42,-0.043
1.43,-0.025
1.44,0.036
1.45,0.022
1.46,0.024
1.47,0.014
1.48,0.022
1.49,0.0
1.5,-0.046
1.51,0.007
1.52,-0.02
1.53,-0.004
1.54,-0.03
1.55,-0.013
1.56,-0.012
1.57,0.042
1.58,0.001
1.59,0.02
